h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,25.880054447562934,-2.2389263439015132e-14j,5.012791173416197e-28,0.009381007798358149,-4
-7,-7,-6,24.7092132476857,(45.647872320239706-5.5902520724868623e-14j),2083.7282473649066,0.010291105569840656,-4
-7,-7,-5,23.673314842753143,1.3419430488875237e-13j,1.8008111464575428e-26,0.011211448344379251,-4
-7,-7,-4,22.79076714773664,(45.647872320239706-5.0312268652381756e-14j),2083.7282473649066,0.012096562687356559,-4
-7,-7,-3,22.07996634812455,-3.3569767583988856e-14j,1.126929295643029e-27,0.01288792660148269,-4
-7,-7,-2,21.55790750281666,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.013519687709398508,-4
-7,-7,-1,21.23851343854863,1.2301380074377865e-13j,1.5132395173430076e-26,0.013929375215743918,-4
-7,-7,0,21.130975970658525,(45.647872320239706-3.9131764507408036e-14j),2083.7282473649066,0.014071511697537223,-4
-7,-7,1,21.23851343854863,-4.475027172896258e-14j,2.0025868198159873e-27,0.013929375215743918,-4
-7,-7,2,21.55790750281666,(45.647872320239706-3.354151243492117e-14j),2083.7282473649066,0.013519687709398508,-4
-7,-7,3,22.07996634812455,1.1183329659880491e-13j,1.2506686228156271e-26,0.01288792660148269,-4
-7,-7,4,22.79076714773664,(45.647872320239706-2.7951260362434312e-14j),2083.7282473649066,0.012096562687356559,-4
-7,-7,5,23.673314842753143,2.5156134326190878e-14j,6.32831094237359e-28,0.011211448344379251,-4
-7,-7,6,24.7092132476857,(45.647872320239706-2.2361008289947448e-14j),2083.7282473649066,0.010291105569840656,-4
-7,-6,-7,24.7092132476857,(45.647872320239706-5.5902520724868623e-14j),2083.7282473649066,0.010291105569840656,-4
-7,-6,-6,23.480060060195562,1.3419430488875237e-13j,1.8008111464575428e-26,0.011396761540154114,-4
-7,-6,-5,22.38735886063608,(45.647872320239706-5.0312268652381756e-14j),2083.7282473649066,0.012536437694169525,-4
-7,-6,-4,21.451971198310336,-3.3569767583988856e-14j,1.126929295643029e-27,0.01365354600355097,-4
-7,-6,-3,20.695238946315577,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.014670299429347318,-4
-7,-6,-2,20.13731305340371,1.2301380074377865e-13j,1.5132395173430076e-26,0.01549447355459155,-4
-7,-6,-1,19.795010840870866,(45.647872320239706-3.9131764507408036e-14j),2083.7282473649066,0.01603497844603079,-4
-7,-6,0,19.67958705317092,-4.475027172896258e-14j,2.0025868198159873e-27,0.01622362525127821,-4
-7,-6,1,19.795010840870866,(45.647872320239706-3.354151243492117e-14j),2083.7282473649066,0.01603497844603079,-4
-7,-6,2,20.13731305340371,1.1183329659880491e-13j,1.2506686228156271e-26,0.01549447355459155,-4
-7,-6,3,20.695238946315577,(45.647872320239706-2.7951260362434312e-14j),2083.7282473649066,0.014670299429347318,-4
-7,-6,4,21.451971198310336,2.5156134326190878e-14j,6.32831094237359e-28,0.01365354600355097,-4
-7,-6,5,22.38735886063608,(45.647872320239706-2.2361008289947448e-14j),2083.7282473649066,0.012536437694169525,-4
-7,-6,6,23.480060060195562,1.9565882253704018e-14j,3.8282374836580983e-28,0.011396761540154114,-4
-7,-5,-7,23.673314842753147,1.3419430488875237e-13j,1.8008111464575428e-26,0.01121144834437925,-4
-7,-5,-6,22.38735886063608,(45.647872320239706-5.0312268652381756e-14j),2083.7282473649066,0.012536437694169525,-4
-7,-5,-5,21.23851343854863,-3.3569767583988856e-14j,1.126929295643029e-27,0.013929375215743917,-4
-7,-5,-4,20.250128014845885,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.015322312737318308,-4
-7,-5,-3,19.446684328430052,1.2301380074377865e-13j,1.5132395173430076e-26,0.016614555980224672,-4
