h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,18.839174717319207,(13.796-1.773998860308873e-14j),190.329616,0.017703377111503348,-4
-7,-7,-6,17.98687040801355,-1.9438050784054787e-14j,3.7783781828349293e-28,0.019420868920828296,-4
-7,-7,-5,17.232796606528392,(13.796-1.605046587898504e-14j),190.329616,0.021157694596674735,-4
-7,-7,-4,16.59035320454595,2.7885664404573228e-14j,7.776102792844824e-28,0.022828038906938526,-4
-7,-7,-3,16.072931555366868,(13.796-1.4360943154881352e-14j),190.329616,0.024321462012999923,-4
-7,-7,-2,15.692903073610587,1.6895227241036885e-15j,2.8544870352627483e-30,0.025513690543048945,-4
-7,-7,-1,15.460402767530793,(13.796-1.2671420430777662e-14j),190.329616,0.02628683268071709,-4
-7,-7,0,15.382121744191192,0j,0.0,0.02655506566725502,-4
-7,-7,1,15.460402767530793,(13.796-1.0981897706673975e-14j),190.329616,0.02628683268071709,-4
-7,-7,2,15.692903073610587,-1.6895227241036878e-15j,2.854487035262746e-30,0.025513690543048945,-4
-7,-7,3,16.072931555366868,(13.796-9.292374982570286e-15j),190.329616,0.024321462012999923,-4
-7,-7,4,16.59035320454595,-3.3790454482073767e-15j,1.141794814105099e-29,0.022828038906938526,-4
-7,-7,5,17.232796606528392,(13.796-7.602852258466598e-15j),190.329616,0.021157694596674735,-4
-7,-7,6,17.98687040801355,-5.068568172311065e-15j,2.5690383317364726e-29,0.019420868920828296,-4
-7,-6,-7,17.98687040801355,-1.9438050784054787e-14j,3.7783781828349293e-28,0.0194208689208283,-4
-7,-6,-6,17.092118362557287,-1.8593289422002944e-14j,3.4571041153036657e-28,0.021507408556950346,-4
-7,-6,-5,16.296695429656,5.068568172311064e-15j,2.569038331736472e-29,0.023658149412645386,-4
-7,-6,-4,15.615787604107016,5.9133295343629075e-15j,3.496746618196864e-29,0.025766301340504876,-4
-7,-6,-3,15.06493052849904,-7.184741305871863e-15j,5.162050763230133e-29,0.027685068461606302,-4
-7,-6,-2,14.658792921749422,-6.339979943820018e-15j,4.019534568804008e-29,0.029240409386415644,-4
-7,-6,-1,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-7,-6,0,14.325595010264454,-6.339979943820018e-15j,4.019534568804008e-29,0.03061642865165873,-4
