h,k,l,|G|,2theta,d,I
-7,-4,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,-4,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,-4,0,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
-7,-4,1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,-4,2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,-3,-3,8.035951292236042,160.24552263982693,0.09729830550811992,0.003189498123886628
-7,-3,-2,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,-3,-1,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749392
-7,-3,0,7.4767677627464915,132.87476500885973,0.11239631843179371,0.0
-7,-3,1,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749444
-7,-3,2,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,-3,3,8.035951292236042,160.24552263982693,0.09729830550811992,0.0031894981238866325
-7,-2,-4,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,-2,-3,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,-2,-2,7.412032624270572,130.64918634355948,0.1143681836674392,0.0
-7,-2,-1,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,-2,0,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-7,-2,1,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,-2,2,7.412032624270572,130.64918634355948,0.1143681836674392,0.0
-7,-2,3,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,-2,4,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,-1,-4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,-1,-3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749392
-7,-1,-2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,-1,-1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015206530832998209
-7,-1,0,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-7,-1,1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015206530832998196
-7,-1,2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,-1,3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749444
-7,-1,4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,0,-4,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
-7,0,-3,7.4767677627464915,132.87476500885973,0.11239631843179371,0.0
-7,0,-2,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-7,0,-1,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-7,0,0,6.872233929727671,114.81228588619443,0.13304054018457215,0.0
-7,0,1,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-7,0,2,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-7,0,3,7.4767677627464915,132.87476500885973,0.11239631843179371,0.0
-7,0,4,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
-7,1,-4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,1,-3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749444
-7,1,-2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,1,-1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015206530832998196
-7,1,0,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-7,1,1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015206530832998209
-7,1,2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,1,3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749433
-7,1,4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,2,-4,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,2,-3,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,2,-2,7.412032624270572,130.64918634355948,0.1143681836674392,0.0
-7,2,-1,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,2,0,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-7,2,1,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-7,2,2,7.412032624270572,130.64918634355948,0.1143681836674392,0.0
-7,2,3,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,2,4,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,3,-3,8.035951292236042,160.24552263982693,0.09729830550811992,0.0031894981238866325
-7,3,-2,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,3,-1,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749444
-7,3,0,7.4767677627464915,132.87476500885973,0.11239631843179371,0.0
-7,3,1,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016948271551749433
-7,3,2,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-7,3,3,8.035951292236042,160.24552263982693,0.09729830550811992,0.0031894981238866343
-7,4,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-7,4,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,4,0,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
-7,4,1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-7,4,2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-6,-5,-2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-6,-5,-1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-6,-5,0,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-6,-5,1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-6,-5,2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-6,-4,-4,8.095698964634494,165.95891167286584,0.09586744807417698,0.05568818316445976
-6,-4,-3,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-6,-4,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
-6,-4,-1,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-6,-4,0,7.0794833744618595,120.43522088984767,0.12536512440469297,0.019376239477868026
-6,-4,1,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-6,-4,2,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
-6,-4,3,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
